Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1099772656,00000647,false,Rx,1,8,B8,FD,FF,7F,00,00,00,23,
1099797824,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099797835,0000012B,false,Rx,1,8,B4,19,80,10,00,00,00,00,
1099798111,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099798121,0000032A,false,Rx,1,8,2D,0F,00,00,00,02,00,00,
1099798400,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099798411,000003C7,false,Rx,1,8,14,10,28,00,00,30,80,00,
1099798691,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099798702,000003EA,false,Rx,1,8,00,00,00,10,C6,98,9E,7B,
1099798974,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099798985,17332910,true,Rx,1,3,3A,54,64,00,00,00,00,00,
1099799262,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099799273,1B000073,true,Rx,1,8,73,00,04,01,01,00,11,00,
1099799551,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099799561,0000031E,false,Rx,1,8,6B,EC,3F,00,00,00,00,00,
1099799838,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099799850,000006B4,false,Rx,1,8,01,45,4E,36,4E,4A,38,48,
1099824824,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099824835,00000107,false,Rx,1,8,20,00,FE,ED,81,3B,EA,7A,
1099825062,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099825073,0000012B,false,Rx,1,8,A4,1A,80,10,00,00,00,00,
1099825349,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099825360,000003E5,false,Rx,1,8,A4,1B,00,00,00,00,00,00,
1099825637,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099825649,000003D5,false,Rx,1,8,65,0B,00,00,00,00,00,00,
1099825925,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099825936,000000FD,false,Rx,1,8,D2,E9,3F,80,F3,15,00,00,
1099826217,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099826228,00000101,false,Rx,1,8,33,09,73,10,82,7B,41,00,
1099826504,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099826525,000003DC,false,Rx,1,8,E0,00,7A,17,00,08,00,00,
1099826789,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099826800,000000FD,false,Rx,1,8,9E,EA,3F,80,F3,15,00,00,
1099852262,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099852272,00000101,false,Rx,1,8,D7,0A,76,10,82,87,41,00,
1099852508,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099852519,000003B5,false,Rx,1,8,86,FE,00,28,1C,7D,18,00,
1099852796,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099852807,17F00046,true,Rx,1,8,20,46,00,00,00,00,00,80,
1099853090,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099853101,17330910,true,Rx,1,4,32,50,00,01,00,00,00,00,
1099853372,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099853383,0000031E,false,Rx,1,8,C2,ED,3F,00,00,00,00,00,
1099853660,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099853671,0000012B,false,Rx,1,8,01,1B,80,10,00,00,00,00,
1099853948,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099853959,000003DA,false,Rx,1,8,22,00,00,F3,15,44,04,00,
1099854236,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099854247,0000030C,false,Rx,1,8,06,FE,3F,00,A0,30,00,40,
1099879347,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099879358,000003DC,false,Rx,1,8,E0,00,98,17,00,08,00,00,
1099879614,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099879625,000003EB,false,Rx,1,8,E0,00,00,FE,00,00,00,00,
1099879904,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099879914,00000107,false,Rx,1,8,20,00,FE,EE,01,3C,4A,7B,
1099880191,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099880201,00000670,false,Rx,1,8,11,00,00,00,FE,00,00,80,
1099880479,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099880489,16A95497,true,Rx,1,8,00,80,6D,00,00,00,00,00,
1099880768,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099880778,0000012B,false,Rx,1,8,44,1C,80,10,00,00,00,00,
1099881057,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099881068,00000394,false,Rx,1,8,FF,49,00,06,00,00,00,00,
1099881342,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099881353,17330A10,true,Rx,1,8,32,93,FF,FF,FF,FF,EE,EE,
1099906780,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099906791,0000031E,false,Rx,1,8,B7,EE,3F,00,00,00,00,00,
1099907034,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099907045,00000107,false,Rx,1,8,23,00,FE,EE,01,3C,6A,7B,
1099907322,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099907334,000000FD,false,Rx,1,8,2F,ED,3F,80,F9,15,00,00,
1099907610,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099907621,00000101,false,Rx,1,8,E2,0D,74,13,82,7B,41,00,
1099907898,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099907909,00000116,false,Rx,1,8,1A,0C,9D,E6,2A,64,98,FF,
1099908186,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099908198,000003BE,false,Rx,1,8,00,30,E7,01,88,80,0C,00,
1099908474,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099908485,00000040,false,Rx,1,8,48,8E,00,00,80,00,00,00,
1099908767,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099908777,000003DC,false,Rx,1,8,E0,00,CA,17,00,08,00,00,
1099934538,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099934549,17331310,true,Rx,1,3,34,D0,03,00,00,00,00,00,
1099934789,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099934799,17331210,true,Rx,1,5,34,90,20,A2,00,00,00,00,
1099935077,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099935088,000003C0,false,Rx,1,4,4F,08,03,00,00,00,00,00,
1099935366,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099935377,0000030C,false,Rx,1,8,62,FF,3F,00,A0,30,00,40,
1099935657,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099935668,000003DB,false,Rx,1,8,50,10,00,00,07,00,01,A6,
1099935941,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099935962,00000658,false,Rx,1,8,C2,03,04,00,00,00,00,00,
1099936232,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099936243,00000481,false,Rx,1,8,00,00,00,00,00,00,00,00,
1099936517,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099936528,000003DA,false,Rx,1,8,22,00,00,0F,16,4C,04,00,
1099960947,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099960958,17F0000E,true,Rx,1,8,20,0E,00,00,00,00,00,80,
1099961178,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099961189,000003D0,false,Rx,1,8,02,00,00,00,00,00,00,00,
1099961466,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099961487,000003D1,false,Rx,1,8,02,00,00,00,00,00,00,00,
1099961754,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099961766,000003D6,false,Rx,1,8,08,00,00,00,00,00,20,00,
1099962042,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099962053,1B000010,true,Rx,1,8,10,00,04,01,29,04,00,00,
1099962330,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099962341,00000040,false,Rx,1,8,2C,8F,00,00,80,00,00,00,
1099962619,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099962630,00000107,false,Rx,1,8,23,00,FE,F0,81,3C,CB,7B,
1099962906,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099962927,00000107,false,Rx,1,8,23,00,FE,F1,81,3C,EB,7B,
1099988380,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099988391,00000585,false,Rx,1,8,0C,3C,0A,7F,12,00,00,00,
1099988645,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099988656,000000FD,false,Rx,1,8,A8,E1,3F,80,FF,15,00,00,
1099988934,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099988945,00000101,false,Rx,1,8,F0,01,74,10,82,7B,41,00,
1099989221,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099989232,00000658,false,Rx,1,8,B4,04,04,00,00,00,00,00,
1099989509,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099989519,000003C7,false,Rx,1,8,14,10,28,00,00,30,80,00,
1099989798,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099989809,16A95497,true,Rx,1,8,00,A0,6D,00,00,00,00,00,
1099990087,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099990098,0000032A,false,Rx,1,8,C3,03,00,00,00,02,00,00,
1099990377,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099990387,1B00000E,true,Rx,1,8,0E,00,44,07,01,00,0E,00,
1100015796,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100015806,000003BE,false,Rx,1,8,00,30,E7,01,88,80,0C,00,
1100016065,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100016075,00000040,false,Rx,1,8,6E,80,00,00,80,00,00,00,
